"","longname","shortname","slave","continent","neoeuro","hemisphere","risk","latitude","edes1975","malfal94","mort0","gdp","population","land","density","average_temperature"
"AGO","Angola","AGO",0,"Africa",0,"South",5.3600001335144,0.136700004339218,0,0.949999988079071,279.999961832828,2368.47124318035,37885849,1246700,30.3889059116066,21.77
"ARG","Argentina","ARG",0,"America",0,"South",6.3899998664856,0.377799987792969,90,0,68.899987875328,9228.02302524777,45696159,2736690,16.6976014820824,16.3
"AUS","Australia","AUS",0,"Others",1,"South",9.31999969482422,0.300000011920929,99,0,8.54999966610383,19930.3628353988,27204809,7692020,3.53675744472843,22.05
"BFA","Burkina Faso","BFA",0,"Africa",0,"North",4.44999980926514,0.144400000572205,0,0.949999988079071,279.999961832828,943.880816656085,23548781,273600,86.070105994152,30.4
"BGD","Bangladesh","BGD",0,"Asia",0,"North",5.1399998664856,0.266699999570847,0,0.120080001652241,71.4099962035033,972.626471100144,173562364,130170,1333.35149419989,25.71
"BHS","Bahamas","BHS",0,"America",0,"North",7.5,0.268299996852875,10,0,85.0000013030289,10829.1836854886,399440,10010,39.9040959040959,25.58
"BOL","Bolivia","BOL",0,"America",0,"South",5.6399998664856,0.188899993896484,30.0000019073486,0.0016499999910593,71.0000125435443,2779.42632739679,12413315,1083300,11.4587971937598,20.76
"BRA","Brazil","BRA",0,"America",0,"North",7.90999984741211,0.111100003123283,55,0.0359999984502792,71.0000125435443,6185.72527960061,211998573,8358140,25.3643242396035,25.44
"CAN","Canada","CAN",0,"America",1,"North",9.72999954223633,0.666700005531311,98,0,16.1000008145899,21807.2938069361,41288599,8965590,4.60522943833033,-4.03
"CHL","Chile","CHL",0,"America",0,"South",7.82000017166138,0.333299994468689,50,0,68.899987875328,11384.4099773046,19764771,742831,26.6073588743604,9.39
"CIV","Cote d'Ivoire","CIV",0,"Africa",0,"North",7,0.0888999998569489,0,0.949999988079071,668.000015382086,1702.75031858291,31934230,318000,100.422106918239,26.8
"CMR","Cameroon","CMR",0,"Africa",0,"North",6.44999980926514,0.0666999965906143,0,0.949999988079071,279.999961832828,1808.04241445606,29123744,472710,61.6101711408686,24.8
"COG","Congo","COG",1,"Africa",0,"South",4.67999982833862,0.0110999997705221,0,0.949999988079071,240.000013805637,1669.03363508191,6182885,2267050,2.72728215081273,24.74
"COL","Colombia","COL",0,"America",0,"North",7.32000017166138,0.0443999990820885,25,0.146370008587837,71.0000125435443,6700.92207883633,52886363,1109500,47.6668436232537,25
"CRI","Costa Rica","CRI",0,"America",0,"North",7.05000019073486,0.111100003123283,20,0,78.1000162484675,6568.23192490867,5129910,51060,100.468272620447,24.83
"DOM","Dominican Re","DOM",0,"America",0,"North",6.17999982833862,0.211099997162819,25,0,130.000024309429,4272.69329948241,11427557,48198,237.096082825013,24.55
"DZA","Algeria","DZA",0,"Africa",0,"North",6.5,0.311100006103516,0,0,78.1999977663556,4402.81920581945,46814308,2381740,19.6555073181791,23.6
"ECU","Ecuador","ECU",0,"America",0,"South",6.55000019073486,0.0221999995410442,30.0000019073486,0.118949994444847,71.0000125435443,4769.51674308988,18135478,248360,73.020929296183,21.43
"EGY","Egypt","EGY",0,"Africa",0,"North",6.76999998092651,0.300000011920929,0,0,67.8000051644492,2835.57440963156,114535772,995450,115.059291777588,23.14
"ETH","Ethiopia","ETH",0,"Africa",0,"South",5.73000001907349,0.0888999998569489,0,0.550999999046326,25.999997881162,450.33877529433,132059767,1128571,117.015027853808,23.36
"GAB","Gabon","GAB",0,"Africa",0,"South",7.82000017166138,0.0110999997705221,0,0.940500020980835,279.999961832828,7331.97074223059,2538952,257670,9.8535025420111,25.2
"GHA","Ghana","GHA",0,"Africa",0,"North",6.26999998092651,0.0888999998569489,0,0.949999988079071,668.000015382086,1587.63360135419,34427414,227530,151.309339427768,27.66
"GIN","Guinea","GIN",0,"Africa",0,"North",6.55000019073486,0.12219999730587,0,0.949999988079071,482.999934305526,1790.05168213331,14754785,245720,60.0471471593684,25.86
"GMB","Gambia","GMB",0,"Africa",0,"North",8.27000045776367,0.147599995136261,0,0.949999988079071,1470.00027114816,1436.55042563658,2697845,10120,266.5854743083,28.38
"GTM","Guatemala","GTM",0,"America",0,"North",5.1399998664856,0.170000001788139,20,0.00360000017099082,71.0000125435443,3983.83404256043,18406359,107160,171.765201567749,23.65
"GUY","Guyana","GUY",0,"America",0,"North",5.8899998664856,0.0555999986827374,2,0.495030015707016,32.1800014374576,2697.28258550141,831087,211140,3.93618925831202,26.12
"HKG","Hong Kong","HKG",0,"Asia",0,"North",8.14000034332275,0.24609999358654,0,0,14.8999994993659,23155.7912620117,7536100,1050,7177.2380952381,23.15
"HND","Honduras","HND",0,"America",0,"North",5.32000017166138,0.166700005531311,20,0.0120000001043081,78.1000162484675,2186.3746873336,10825703,111890,96.7530878541425,24.72
"HTI","Haiti","HTI",0,"America",0,"North",3.73000001907349,0.211099997162819,0,1,130.000024309429,1274.10607668167,11772557,27560,427.160994194485,24.95
"IDN","Indonesia","IDN",0,"Asia",0,"South",7.59000015258789,0.0555999986827374,0,0.178729996085167,170.000002929849,1525.38165561317,283487931,1877519,150.990712211168,25.96
"IND","India","IND",0,"Asia",0,"North",8.27000045776367,0.222200006246567,0,0.235960006713867,48.63000013972,1525.38165561317,1450935791,2973190,488.006414322664,24.94
"JAM","Jamaica","JAM",0,"America",0,"North",7.09000015258789,0.201700001955032,10,0,130.000024309429,3604.72073386205,2839175,10830,262.158356417359,25.91
"KEN","Kenya","KEN",1,"Africa",0,"South",6.05000019073486,0.0110999997705221,0,0.797999978065491,144.999991607287,1164.44509914272,56432944,580876,97.1514471246875,25.08
"LKA","Sri Lanka","LKA",0,"Asia",0,"North",6.05000019073486,0.0777999982237816,0,0.137999996542931,69.8000048309395,2275.60224419099,21916000,61860,354.283866795991,27.25
"MAR","Morocco","MAR",0,"Africa",0,"North",7.09000015258789,0.355599999427795,1,0,78.1999977663556,3102.61307197259,38081173,446300,85.3264015236388,18.14
"MDG","Madagascar","MDG",0,"Africa",0,"South",4.44999980926514,0.222200006246567,0,0.949999988079071,536.039994325814,934.489277320947,31964956,581800,54.9414850464077,22.64
